title,year released,certificate,duration,genre,rating,votes
The Naked Civil Servant,1975,TV-14,77 min,"Biography, Comedy, Drama",7.9,"1,741"
Jaws,1975,PG,124 min,"Adventure, Thriller",8.1,"600,404"
One of Our Dinosaurs Is Missing,1975,G,94 min,"Adventure, Comedy, Family",5.9,"1,817"
Taxi Driver,1976,R,114 min,"Crime, Drama",8.2,"819,599"
Highway Racer,1977,Not Rated,101 min,"Action, Crime, Drama",6.4,549
Drunken Master,1978,PG-13,111 min,"Action, Comedy",7.4,"40,397"
Jaws 2,1978,PG,116 min,"Adventure, Horror, Thriller",5.8,"78,737"
National Lampoon's Animal House,1978,R,109 min,Comedy,7.4,"121,253"
The Avenging Eagle,1978,R,90 min,"Action, Adventure, Drama",7.4,946
Grease,1978,PG,110 min,"Comedy, Musical, Romance",7.2,"275,313"
Life of Brian,1979,R,94 min,Comedy,8.0,"397,955"
The Blues Brothers,1980,R,133 min,"Action, Adventure, Comedy",7.9,"199,019"
The Smurfs,1981,TV-Y,30 min,"Animation, Adventure, Comedy",7.2,"18,686"
Cheers,1982,TV-PG,22 min,"Comedy, Drama",7.9,"54,765"
Wheel of Fortune,1983,TV-G,30 min,"Family, Game-Show",6.7,"3,198"
Flashdance,1983,R,95 min,"Drama, Music, Romance",6.2,"53,738"
Thomas & Friends,1984,TV-Y,11 min,"Animation, Short, Adventure",6.5,"5,220"
"Murder, She Wrote",1984,TV-PG,50 min,"Crime, Drama, Mystery",7.1,"24,323"
Nausicaä of the Valley of the Wind,1984,PG,117 min,"Animation, Adventure, Sci-Fi",8.0,"168,797"
Footloose,1984,PG,107 min,"Drama, Music, Romance",6.6,"80,905"
Jeopardy!,1984,TV-G,30 min,Game-Show,8.3,"7,434"
American Masters,1985,Not Rated,87 min,"Documentary, Biography, Music",7.6,165
Castle in the Sky,1986,PG,125 min,"Animation, Adventure, Family",8.0,"165,884"
Knights of the Zodiac,1986,TV-PG,24 min,"Animation, Action, Adventure",8.4,"10,092"
Full House,1987,TV-G,22 min,"Comedy, Drama, Family",6.7,"58,833"
Star Trek: The Next Generation,1987,TV-PG,44 min,"Action, Adventure, Sci-Fi",8.7,"119,655"
American Experience,1987,Approved,90 min,"Documentary, Biography, History",6.7,47
Fatal Attraction,1987,R,119 min,"Drama, Thriller",6.9,"86,764"
Sam Kinison: Breaking the Rules,1987,R,50 min,"Documentary, Comedy",7.2,672
American Experience,1987,TV-PG,53 min,"Documentary, Biography, History",6.8,198
Muqaddar Ka Faisla,1987,Not Rated,171 min,"Action, Comedy, Drama",4.9,69
Quiet Victory: The Charlie Wedemeyer Story,1988,Not Rated,100 min,Drama,7.2,145
Mystery Science Theater 3000,1988,TV-14,92 min,"Comedy, Sci-Fi",8.7,"24,646"
My Neighbor Totoro,1988,G,86 min,"Animation, Comedy, Family",8.1,"335,557"
Dead Poets Society,1989,PG,128 min,"Comedy, Drama",8.1,"484,465"
Kiki's Delivery Service,1989,G,103 min,"Animation, Adventure, Family",7.8,"143,858"
Bill Hicks: Sane Man,1989,Not Rated,81 min,"Documentary, Comedy",8.3,"2,382"
"See No Evil, Hear No Evil",1989,R,103 min,"Comedy, Crime",6.8,"54,756"
Seinfeld,1989,TV-PG,22 min,Comedy,8.9,"314,089"
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,Not Rated,72 min,Comedy,8.1,"1,535"
The Adventures of Super Mario Bros. 3,1990,TV-Y7,11 min,"Animation, Adventure, Comedy",7.1,"1,686"
The Fresh Prince of Bel-Air,1990,TV-PG,22 min,Comedy,7.9,"134,185"
Death Warrant,1990,R,89 min,"Action, Crime, Mystery",5.6,"19,026"
Twin Peaks,1990,TV-MA,47 min,"Crime, Drama, Mystery",8.8,"196,192"
