title,year released,certificate,duration,genre,rating,votes
Super Wings!,2015,TV-Y,15 min,"Animation, Adventure, Family",5.9,333
R.L. Stine's Monsterville: Cabinet of Souls,2015,PG,86 min,"Comedy, Fantasy, Horror",5.6,"2,279"
The Crew,2015,TV-MA,81 min,"Action, Crime, Drama",6.3,"5,174"
Invoked,2015,R,85 min,"Horror, Mystery, Thriller",3.4,709
Chewing Gum,2015,TV-MA,23 min,Comedy,7.7,"9,555"
Hell and Back,2015,R,86 min,"Animation, Adventure, Comedy",5.3,"5,061"
Aziz Ansari Live in Madison Square Garden,2015,TV-MA,58 min,Comedy,6.6,"3,283"
Care Bears and Cousins,2015,TV-Y,132 min,Animation,6.8,83
Dinotrux,2015,TV-Y7-FV,23 min,"Animation, Short, Action",6.7,468
Ip Man 3,2015,PG-13,105 min,"Action, Biography, Drama",7.0,"55,640"
Kekkai Sensen,2015,TV-14,24 min,"Animation, Action, Adventure",7.2,"2,184"
Power Rangers Dino Charge,2015,TV-Y7,21 min,"Action, Adventure, Family",6.4,"1,398"
Dilwale,2015,Not Rated,158 min,"Action, Comedy, Drama",5.0,"34,990"
Grace and Frankie,2015,TV-MA,32 min,Comedy,8.9,458
King Jack,2015,Not Rated,81 min,"Adventure, Drama",6.9,"3,274"
Baires,2015,TV-MA,82 min,"Action, Crime, Thriller",4.2,207
Lethal Seduction,2015,TV-14,80 min,Thriller,5.1,993
Grace and Frankie,2015,TV-MA,28 min,Comedy,7.6,344
Chloe and Theo,2015,PG-13,81 min,"Comedy, Drama",5.7,"1,717"
Gonchi la película,2015,G,88 min,Documentary,7.7,250
The Frankenstein Chronicles,2015,TV-MA,48 min,"Crime, Drama, Fantasy",7.2,"11,715"
W/Bob and David,2015,TV-MA,30 min,Comedy,7.3,"4,363"
Inspector Gadget,2015,TV-Y7,22 min,"Animation, Action, Adventure",4.5,638
Alvinnn!!! And the Chipmunks,2015,TV-Y7,11 min,"Animation, Comedy, Family",4.5,"1,417"
Anjelah Johnson: Not Fancy,2015,Not Rated,90 min,"Documentary, Comedy",5.7,710
Night Fare,2015,TV-MA,80 min,Thriller,5.5,"1,479"
Western,2015,Not Rated,92 min,"Documentary, Western",6.1,253
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.2,19
Historia de un clan,2015,TV-MA,50 min,"Biography, Crime, Drama",7.7,948
"Devil's Backbone, Texas",2015,Unrated,80 min,Horror,4.0,591
Iliza Shlesinger: Freezing Hot,2015,TV-MA,71 min,"Documentary, Comedy",6.8,"2,645"
Demetri Martin: Live (At the Time),2015,TV-MA,61 min,"Documentary, Comedy",7.4,"2,231"
Project Mc²,2015,TV-Y7,26 min,Family,5.9,"1,060"
Navy Seals vs. Zombies,2015,Not Rated,97 min,"Action, Horror",3.3,"2,218"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.8,18
The Returned,2015,TV-14,42 min,"Drama, Fantasy, Horror",7.0,"11,908"
Richie Rich,2015,TV-G,22 min,Comedy,3.1,"1,101"
The Gunman,2015,R,115 min,"Action, Adventure, Crime",5.8,"41,280"
Mike Epps: Don't Take It Personal,2015,TV-MA,59 min,Comedy,4.4,290
Chris D'Elia: Incorrigible,2015,TV-MA,83 min,Comedy,6.4,"1,554"
Russell Madness,2015,PG,92 min,"Family, Sport",4.2,675
Owari no serafu,2015,TV-14,24 min,"Animation, Action, Adventure",7.5,"5,496"
The Hunting Ground,2015,PG-13,103 min,Documentary,7.4,"6,329"
Eddie - Strongman,2015,TV-14,98 min,Documentary,7.4,"1,179"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.1,18
Real Rob,2015,TV-MA,30 min,Comedy,6.3,"2,905"
Jeff Dunham: Unhinged in Hollywood,2015,Unrated,71 min,Comedy,6.7,735
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,TV-MA,78 min,Comedy,6.8,"1,573"
Stalked by My Doctor,2015,TV-14,88 min,Thriller,5.4,"1,656"
The Real Miyagi,2015,TV-14,80 min,"Documentary, Action, Biography",7.1,"1,001"
The Missing Ingredient: What is the Recipe for Success?,2015,Unrated,87 min,Documentary,7.5,23
Winter on Fire: Ukraine's Fight for Freedom,2015,Not Rated,102 min,Documentary,8.3,"19,042"
Terrace House,2015,TV-14,30 min,"Drama, Reality-TV",8.1,"1,692"
Pyaar Ka Punchnama 2,2015,Not Rated,137 min,"Comedy, Drama, Romance",7.3,"15,310"
The Deep,2015,TV-Y7,22 min,"Animation, Action, Adventure",7.8,698
Hard Tide,2015,Not Rated,90 min,"Drama, Thriller",4.8,212
An Act of War,2015,Not Rated,99 min,"Crime, Drama, Thriller",5.2,"1,667"
Dawn of the Croods,2015,TV-Y7,23 min,"Animation, Short, Adventure",5.8,735
6 Years,2015,Not Rated,79 min,"Drama, Romance",5.5,"12,684"
Gate,2015,TV-14,24 min,"Animation, Action, Adventure",7.5,"3,509"
Escorts,2015,Not Rated,47 min,Documentary,5.1,445
Cyborg 009 vs Devilman,2015,TV-14,28 min,"Animation, Action, Sci-Fi",6.1,285
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.4,16
Hurricane of Fun: The Making of Wet Hot,2015,Not Rated,64 min,Documentary,7.0,"1,496"
The Testimony,2015,Not Rated,28 min,"Documentary, Short, Crime",7.3,159
Hate Story 3,2015,Not Rated,126 min,"Drama, Thriller",4.5,"3,267"
Danny Says,2015,Unrated,104 min,"Documentary, Biography, History",6.7,817
My Little Pony: Equestria Girls - Friendship Games,2015,TV-Y,72 min,"Animation, Family, Fantasy",6.4,"1,910"
Colin Quinn: Unconstitutional,2015,Not Rated,55 min,Comedy,7.1,481
Jeremy Scott: The People's Designer,2015,PG-13,110 min,"Documentary, Biography",6.4,404
Club de Cuervos,2015,TV-MA,40 min,"Comedy, Drama",8.2,"5,646"
Oriented,2015,Not Rated,86 min,Documentary,6.7,525
MI-5,2015,R,104 min,"Action, Drama, Thriller",6.2,"22,820"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",7.9,17
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.4,20
Merry Kissmas,2015,Unrated,89 min,"Comedy, Drama, Romance",5.3,"3,216"
God Eater,2015,TV-14,24 min,"Animation, Action, Sci-Fi",6.9,"2,034"
Mobile Suit Gundam: Iron-Blooded Orphans,2015,TV-14,24 min,"Animation, Action, Drama",7.9,"1,732"
Imprisoned,2015,TV-MA,97 min,Drama,6.4,200
Emergency,2015,TV-14,22 min,Reality-TV,7.7,31
How to Plan an Orgy in a Small Town,2015,TV-MA,101 min,"Comedy, Drama",5.4,"3,352"
Born to Be Blue,2015,R,97 min,"Biography, Comedy, Drama",6.8,"8,725"
The Ridiculous 6,2015,TV-14,119 min,"Action, Adventure, Comedy",4.8,"49,602"
Between,2015,TV-14,60 min,"Drama, Mystery, Sci-Fi",5.9,"9,252"
Southpaw,2015,R,124 min,"Action, Crime, Drama",7.3,"236,533"
Pixels,2015,PG-13,105 min,"Action, Comedy, Fantasy",5.6,"144,672"
Bangistan,2015,Not Rated,135 min,"Comedy, Drama",4.5,"1,305"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.5,16
Dark Places,2015,R,113 min,"Crime, Drama, Mystery",6.2,"45,465"
Puffin Rock,2015,TV-Y,7 min,"Animation, Family",8.6,932
F Is for Family,2015,TV-MA,30 min,"Animation, Comedy, Drama",8.0,"37,225"
Wet Hot American Summer: First Day of Camp,2015,TV-MA,30 min,Comedy,7.3,"24,101"
You Carry Me,2015,Unrated,155 min,"Action, Drama",7.0,"2,261"
Tig,2015,TV-14,95 min,"Documentary, Biography",7.4,"2,706"
Frank and Cindy,2015,R,102 min,Comedy,6.1,873
Grace and Frankie,2015,TV-MA,28 min,Comedy,7.6,347
Making a Murderer,2015,TV-14,60 min,"Documentary, Crime",8.6,"95,626"
Tangerine,2015,R,88 min,"Comedy, Crime, Drama",7.1,"32,450"
Danger Mouse,2015,TV-Y7,22 min,"Animation, Action, Adventure",7.1,604
The Adventures of Puss in Boots,2015,TV-Y7,23 min,"Animation, Short, Action",6.5,"1,759"
Fauda,2015,TV-MA,60 min,"Action, Drama, Thriller",8.2,"26,699"
Beasts of No Nation,2015,TV-MA,137 min,"Drama, War",7.7,"81,447"
A Faster Horse,2015,Not Rated,85 min,Documentary,6.7,675
Frozen Fever,2015,G,8 min,"Animation, Short, Adventure",6.8,"16,300"
Crazy Ex-Girlfriend,2015,TV-14,42 min,"Comedy, Musical",7.8,"20,397"
Jessica Jones,2015,TV-MA,56 min,"Action, Crime, Drama",7.9,"213,221"
Into the Badlands,2015,TV-14,42 min,"Action, Adventure, Drama",7.9,"46,547"
Servant of the People,2015,TV-MA,28 min,Comedy,7.3,"3,486"
12 Rounds 3: Lockdown,2015,R,90 min,"Action, Crime, Thriller",5.1,"4,292"
Grace and Frankie,2015,TV-MA,30 min,Comedy,8.2,"51,896"
In the Heart of the Sea,2015,PG-13,122 min,"Action, Adventure, Biography",6.9,"139,010"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.4,"1,139"
Requiem for the American Dream,2015,Not Rated,73 min,"Documentary, Biography, News",8.1,"9,838"
Her Infidelity,2015,TV-14,83 min,"Drama, Thriller",3.5,565
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.7,"1,235"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.7,"1,420"
The Revenant,2015,R,156 min,"Action, Adventure, Drama",8.0,"794,404"
Papa Hemingway in Cuba,2015,R,110 min,"Biography, Drama",6.3,"1,548"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",6.9,"1,148"
Supergirl,2015,TV-14,42 min,"Action, Adventure, Drama",6.8,"1,182"
Nise: The Heart of Madness,2015,Not Rated,106 min,"Biography, Drama, History",7.6,"2,422"
Yosemite,2015,R,80 min,Drama,4.7,889
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",6.6,"1,321"
Smosh: The Movie,2015,PG-13,84 min,"Adventure, Comedy, Fantasy",3.2,"6,569"
Little Witch Academia: The Enchanted Parade,2015,TV-Y7,54 min,"Animation, Comedy, Family",7.3,"1,736"
F Is for Family,2015,TV-MA,29 min,"Animation, Comedy, Drama",8.5,455
Supergirl,2015,TV-PG,43 min,"Action, Adventure, Drama",6.2,"123,705"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.7,"1,397"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",6.6,"1,561"
Poldark,2015,TV-14,60 min,"Drama, Romance",8.3,"31,763"
Cash Only,2015,Not Rated,91 min,"Crime, Drama, Thriller",6.0,"1,246"
Cleveland Abduction,2015,TV-14,88 min,"Biography, Crime, Drama",6.6,"7,425"
Call My Agent!,2015,TV-MA,52 min,"Comedy, Drama",8.3,"14,448"
Good Witch,2015,TV-PG,48 min,"Comedy, Drama, Fantasy",7.3,"10,753"
Miraculous: Tales of Ladybug & Cat Noir,2015,TV-Y7,20 min,"Animation, Action, Adventure",7.6,"11,332"
Killjoys,2015,TV-MA,42 min,"Action, Adventure, Sci-Fi",7.2,"22,283"
Zoo,2015,TV-14,42 min,"Drama, Mystery, Sci-Fi",6.6,"24,869"
F Is for Family,2015,TV-MA,28 min,"Animation, Comedy, Drama",8.1,385
7 Chinese Brothers,2015,Not Rated,76 min,Comedy,5.6,"1,565"
Soaked in Bleach,2015,Not Rated,90 min,"Documentary, Crime",7.3,"13,808"
Limitless,2015,TV-14,42 min,"Comedy, Crime, Drama",7.6,"67,426"
F Is for Family,2015,TV-MA,27 min,"Animation, Comedy, Drama",7.5,453
F Is for Family,2015,TV-MA,28 min,"Animation, Comedy, Drama",8.1,388
Manson Family Vacation,2015,Not Rated,84 min,"Comedy, Drama, Thriller",5.8,"3,027"
Bloodline,2015,TV-MA,60 min,"Drama, Thriller",7.9,"52,302"
Ava's Possessions,2015,R,89 min,"Comedy, Horror, Mystery",5.6,"3,202"
Chef's Table,2015,TV-MA,50 min,Documentary,8.5,"15,573"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.5,"1,133"
BattleBots,2015,TV-PG,44 min,"Action, Game-Show, Reality-TV",8.3,26
Walt Before Mickey,2015,PG,107 min,"Biography, Drama",5.9,"6,117"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.3,"1,189"
Child 44,2015,R,137 min,"Crime, Drama, History",6.4,"71,468"
River,2015,TV-MA,60 min,"Crime, Drama, Mystery",8.0,"23,968"
Sense8,2015,TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.2,"153,913"
Hot Girls Wanted,2015,TV-MA,84 min,Documentary,6.1,"17,679"
Pan,2015,PG,111 min,"Action, Adventure, Comedy",5.7,"64,414"
F Is for Family,2015,TV-MA,29 min,"Animation, Comedy, Drama",7.9,371
The DUFF,2015,PG-13,101 min,"Comedy, Romance",6.4,"94,704"
Chris Tucker Live,2015,TV-MA,92 min,"Documentary, Comedy",6.3,"1,981"
iZombie,2015,TV-14,42 min,"Comedy, Crime, Drama",7.8,"67,849"
Ever After High: Way Too Wonderland,2015,TV-G,90 min,"Animation, Adventure, Drama",7.4,356
Vis a vis,2015,TV-MA,53 min,"Drama, Thriller",8.2,"22,298"
Rodeo & Juliet,2015,Unrated,88 min,"Drama, Family, Romance",4.7,"1,063"
Underwear,2015,TV-14,50 min,"Comedy, Drama",7.3,953
Advantageous,2015,Not Rated,90 min,"Drama, Family, Sci-Fi",6.1,"5,561"
Secrets of Great British Castles,2015,TV-PG,45 min,"Documentary, History",7.7,"1,092"
The Last Kingdom,2015,TV-MA,56 min,"Action, Drama, History",8.3,"2,793"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.4,19
Furious 7,2015,PG-13,137 min,"Action, Crime, Thriller",7.1,"388,751"
Naked Among Wolves,2015,Not Rated,105 min,"Drama, History, War",7.2,"4,007"
Seoul Searching,2015,TV-MA,105 min,"Comedy, Drama, Music",7.0,"1,759"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",8.2,"1,252"
Merlí,2015,TV-MA,58 min,"Comedy, Drama, Romance",8.6,"8,555"
Grace and Frankie,2015,TV-MA,30 min,Comedy,7.8,401
Grace and Frankie,2015,TV-MA,28 min,Comedy,8.1,428
Hellions,2015,Not Rated,80 min,"Drama, Horror, Thriller",4.2,"3,329"
The Mr. Peabody & Sherman Show,2015,TV-Y7,23 min,"Animation, Adventure, Comedy",5.5,457
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.1,"1,345"
Into the Forest,2015,R,101 min,"Drama, Thriller",5.8,"20,884"
H2O: Mermaid Adventures,2015,TV-Y7,25 min,"Animation, Adventure, Comedy",5.5,205
F Is for Family,2015,TV-MA,28 min,"Animation, Comedy, Drama",7.7,416
Versailles,2015,TV-MA,52 min,"Biography, Drama, History",7.9,"16,726"
Ash vs Evil Dead,2015,TV-MA,30 min,"Action, Comedy, Fantasy",8.4,"73,097"
Mr. Robot,2015,TV-MA,49 min,"Crime, Drama, Thriller",8.6,"383,470"
The Admiral,2015,TV-PG,151 min,"Action, Biography, Drama",7.0,"9,848"
Dark Summer,2015,Not Rated,81 min,"Horror, Thriller",4.2,"3,354"
The Expanse,2015,TV-14,60 min,"Drama, Mystery, Sci-Fi",8.5,"151,611"
Rooster's Blood,2015,TV-MA,84 min,"Action, Crime, Drama",5.2,172
Gridlocked,2015,R,110 min,Action,5.8,"4,650"
The Last Kingdom,2015,TV-MA,60 min,"Action, Drama, History",8.5,"136,939"
Master of None,2015,TV-MA,30 min,"Comedy, Drama",8.2,"73,214"
Anthony Jeselnik: Thoughts and Prayers,2015,TV-MA,59 min,Comedy,7.7,"5,372"
Ófærð,2015,TV-14,60 min,"Crime, Drama, Mystery",8.0,"21,642"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",7.9,21
Lift Me Up,2015,Not Rated,108 min,Family,5.6,676
The Last Kingdom,2015,TV-14,51 min,"Action, Drama, History",9.3,"2,846"
Scream: The TV Series,2015,TV-14,45 min,"Comedy, Crime, Drama",7.1,"41,077"
Narcos,2015,TV-MA,49 min,"Biography, Crime, Drama",8.8,"416,307"
Green Room,2015,R,95 min,"Crime, Drama, Horror",7.0,"123,286"
Schitt's Creek,2015,TV-14,22 min,Comedy,8.5,"118,638"
Daredevil,2015,TV-MA,54 min,"Action, Crime, Drama",8.6,"434,141"
"What Happened, Miss Simone?",2015,Not Rated,101 min,"Documentary, Biography, Music",7.6,"13,970"
Grace and Frankie,2015,TV-MA,32 min,Comedy,7.9,385
The Chosen,2015,R,88 min,"Horror, Thriller",3.5,"2,149"
Better Call Saul,2015,TV-MA,46 min,"Crime, Drama",8.9,"501,384"
F Is for Family,2015,TV-MA,29 min,"Animation, Comedy, Drama",8.1,394
The Danish Girl,2015,R,119 min,"Biography, Drama, Romance",7.1,"185,277"
The Last Kingdom,2015,TV-MA,55 min,"Action, Drama, History",8.6,"2,506"
John Mulaney: The Comeback Kid,2015,TV-MA,62 min,Comedy,7.9,"8,663"
F Is for Family,2015,TV-MA,28 min,"Animation, Comedy, Drama",7.8,390
How Sarah Got Her Wings,2015,Unrated,88 min,"Drama, Fantasy",5.5,"1,791"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.6,16
Final Girl,2015,R,84 min,"Horror, Thriller",4.7,"15,916"
Jago: A Life Underwater,2015,G,48 min,Documentary,7.4,"1,317"
Henry Gamble's Birthday Party,2015,Unrated,87 min,Drama,6.1,"3,126"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",7.9,16
The Last Kingdom,2015,TV-MA,60 min,"Action, Drama, History",8.5,"136,936"
Sinatra Being Frank,2015,TV-PG,81 min,"Documentary, Biography, History",6.4,260
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",8.0,15
Ófærð,2015,TV-14,60 min,"Crime, Drama, Mystery",8.0,"21,641"
The Asterisk War,2015,TV-14,23 min,"Animation, Action, Comedy",6.8,"2,106"
The Submarine Kid,2015,Unrated,109 min,"Drama, Romance",5.6,879
12 Monkeys,2015,TV-14,42 min,"Adventure, Drama, Mystery",7.7,"44,864"
Glitch,2015,TV-MA,45 min,"Drama, Horror, Sci-Fi",7.2,"18,276"
The Ministry of Time,2015,TV-MA,70 min,"Action, Adventure, Comedy",8.2,"5,023"
Ashby,2015,R,100 min,"Comedy, Crime, Drama",6.4,"15,729"
Brooklyn,2015,PG-13,117 min,"Drama, Romance",7.5,"142,184"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",5.9,"1,352"
Keith Richards: Under the Influence,2015,TV-PG,81 min,"Documentary, Music",7.1,"3,418"
Supergirl,2015,TV-14,42 min,"Action, Adventure, Drama",6.3,"1,345"
BattleBots,2015,TV-PG,83 min,"Action, Game-Show, Reality-TV",7.8,19
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2015,PG-13,96 min,"Documentary, Music",7.7,731
Me Him Her,2015,Not Rated,98 min,"Comedy, Romance",5.2,"1,530"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.0,"1,065"
The Little Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7,"62,222"
A Very Murray Christmas,2015,TV-MA,56 min,"Comedy, Music, Musical",5.5,"15,499"
Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,TV-MA,22 min,"Animation, Comedy",7.0,"2,428"
PJ Masks,2015,TV-Y,24 min,"Animation, Action, Adventure",5.3,"1,293"
Look Who's Back,2015,Not Rated,116 min,"Comedy, Drama, Fantasy",7.0,"45,688"
Sicario,2015,R,121 min,"Action, Crime, Drama",7.6,"425,967"
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",7.6,"1,046"
The Last Kingdom,2015,TV-MA,53 min,"Action, Drama, History",8.4,"2,447"
Kung Fury,2015,Not Rated,31 min,"Short, Action, Comedy",8.0,"59,747"
Unbreakable Kimmy Schmidt,2015,TV-14,30 min,Comedy,7.6,"72,009"
BattleBots,2015,TV-14,83 min,"Action, Game-Show, Reality-TV",8.0,26
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",6.6,"1,225"
Spotless,2015,TV-MA,60 min,"Crime, Drama",7.7,"3,686"
Matt Braunger: Big Dumb Animal,2015,TV-MA,64 min,"Documentary, Comedy",7.3,286
Supergirl,2015,TV-PG,42 min,"Action, Adventure, Drama",8.5,"1,907"
Ang probinsyano,2015,TV-14,99 min,"Action, Adventure, Crime",3.6,296
Twinsters,2015,PG-13,89 min,"Documentary, Biography",7.5,"4,805"
Dragons: Race to the Edge,2015,TV-Y7-FV,22 min,"Animation, Action, Adventure",8.2,"6,520"
F Is for Family,2015,TV-MA,28 min,"Animation, Comedy, Drama",7.6,379
The Founder,2016,PG-13,115 min,"Biography, Drama",7.2,"150,116"
White Rabbit Project,2016,TV-PG,48 min,Reality-TV,6.9,"1,680"
Bordertown,2016,TV-MA,58 min,"Crime, Drama, Mystery",7.1,152
A Yellow Bird,2016,Not Rated,112 min,Drama,5.4,240
The Hurt Business,2016,PG-13,107 min,"Documentary, Sport",6.4,947
Mascots,2016,TV-MA,89 min,Comedy,5.8,"7,499"
Gilmore Girls: A Year in the Life,2016,TV-14,370 min,"Comedy, Drama",7.6,"38,451"
Frequency,2016,TV-MA,42 min,"Drama, Fantasy, Mystery",7.4,"13,862"
Don't Breathe,2016,R,88 min,"Crime, Horror, Thriller",7.1,"272,361"
Ever After High: Dragon Games,2016,TV-G,90 min,"Animation, Adventure, Drama",7.1,304
Jimmy Carr: Funny Business,2016,Not Rated,62 min,Comedy,7.2,"4,433"
Bordertown,2016,TV-MA,60 min,"Crime, Drama, Mystery",7.6,149
Batman v Superman: Dawn of Justice,2016,PG-13,152 min,"Action, Adventure, Sci-Fi",6.4,"694,619"
Bordertown,2016,TV-MA,60 min,"Crime, Drama, Mystery",7.4,147
The Last Heist,2016,TV-MA,84 min,"Action, Horror, Thriller",3.6,"2,632"
Luke Cage,2016,TV-MA,55 min,"Action, Crime, Drama",7.3,"130,409"
Hunt for the Wilderpeople,2016,PG-13,101 min,"Adventure, Comedy, Drama",7.8,"130,345"
Bordertown,2016,TV-MA,59 min,"Crime, Drama, Mystery",7.0,146
DC's Legends of Tomorrow,2016,TV-14,42 min,"Action, Adventure, Drama",8.8,"1,383"
The Secret Life of Pets,2016,PG,87 min,"Animation, Adventure, Comedy",6.5,"201,790"
The Invisible Guest,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.0,"174,610"
Bordertown,2016,TV-MA,59 min,"Crime, Drama, Mystery",7.2,158
The Shannara Chronicles,2016,TV-14,42 min,"Adventure, Drama, Fantasy",7.1,"60,428"
Swedish Dicks,2016,TV-MA,30 min,"Comedy, Crime",6.7,"3,383"
The Land Before Time XIV: Journey of the Brave,2016,G,82 min,"Animation, Adventure, Comedy",5.6,766
Greenleaf,2016,TV-14,42 min,Drama,6.3,54
Fuller House,2016,TV-G,30 min,"Comedy, Family",6.7,"27,643"
Greenleaf,2016,TV-14,41 min,Drama,6.4,52
Flowering Heart,2016,TV-Y7,12 min,"Animation, Action, Adventure",7.2,49
Pacific Heat,2016,TV-14,22 min,"Animation, Action, Comedy",5.7,"1,147"
Rainbow Ruby,2016,TV-Y,11 min,"Animation, Adventure, Comedy",6.5,81
ARQ,2016,TV-MA,88 min,"Action, Sci-Fi, Thriller",6.3,"39,434"
Mob Psycho 100,2016,TV-14,24 min,"Animation, Action, Comedy",8.6,"30,081"
Kim's Convenience,2016,TV-14,22 min,Comedy,8.2,"18,672"
Derren Brown: Pushed to the Edge,2016,TV-MA,68 min,Reality-TV,7.5,"3,781"
I.T.,2016,Not Rated,95 min,"Crime, Drama, Mystery",5.5,"16,145"
Greenleaf,2016,TV-14,42 min,Drama,6.0,48
Greenleaf,2016,TV-14,42 min,Drama,6.2,50
Middle School: The Worst Years of My Life,2016,PG,92 min,"Animation, Comedy, Family",6.0,"9,209"
The Characters,2016,TV-MA,30 min,Comedy,5.3,885
"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America",2016,TV-14,105 min,"Documentary, Music",7.4,"1,326"
Greenleaf,2016,TV-14,42 min,Drama,6.2,49
Greenleaf,2016,TV-14,42 min,Drama,6.2,57
A United Kingdom,2016,PG-13,111 min,"Biography, Drama, History",6.9,"16,239"
Kevin Hart: What Now?,2016,R,96 min,"Documentary, Comedy",5.9,"9,557"
Timeless,2016,TV-14,60 min,"Action, Adventure, Drama",7.6,"42,921"
Let's Be Evil,2016,Not Rated,82 min,"Horror, Reality-TV, Sci-Fi",4.3,"7,998"
Bordertown,2016,TV-MA,56 min,"Crime, Drama, Mystery",7.5,159
Sometimes,2016,TV-14,110 min,Drama,7.2,866
Bordertown,2016,TV-MA,60 min,"Crime, Drama, Mystery",7.1,174
The Exorcism of Anna Ecklund,2016,Not Rated,79 min,Horror,2.5,"1,124"
Trailer Park Boys: Out of the Park,2016,TV-MA,30 min,"Adventure, Comedy, Crime",7.0,"2,379"
El marginal,2016,TV-MA,60 min,"Crime, Drama, Mystery",8.2,"4,115"
Bordertown,2016,TV-MA,57 min,"Crime, Drama, Mystery",7.7,131
Prey,2016,Not Rated,108 min,"Comedy, Horror, Thriller",5.3,"2,519"
The Journey Is the Destination,2016,R,123 min,Drama,6.3,646
Chelsea Does,2016,TV-MA,70 min,Documentary,7.3,"2,501"
David Brent: Life on the Road,2016,Not Rated,96 min,"Comedy, Music",6.3,"20,604"
Stalked by My Doctor: The Return,2016,TV-14,97 min,Thriller,5.7,865
The Good Place,2016,TV-PG,22 min,"Comedy, Drama, Fantasy",8.2,"156,760"
Ever After High: Epic Winter,2016,TV-G,90 min,"Animation, Adventure, Drama",7.3,326
7:19,2016,TV-14,94 min,"Drama, History",5.8,656
American Crime Story,2016,TV-MA,42 min,"Biography, Crime, Drama",8.4,"95,054"
Mindhorn,2016,TV-MA,89 min,"Comedy, Thriller",6.3,"12,866"
Madaari,2016,Not Rated,133 min,"Drama, Thriller",7.6,"14,377"
Slam,2016,TV-MA,100 min,"Comedy, Drama, Romance",6.1,"1,337"
The Boulet Brothers' Dragula,2016,TV-MA,48 min,"Game-Show, Horror, Reality-TV",7.9,"1,217"
The Nice Guys,2016,R,116 min,"Action, Comedy, Crime",7.3,"324,865"
Designated Survivor,2016,TV-14,60 min,"Action, Drama, Mystery",7.5,"90,424"
The Oscars,2016,TV-14,175 min,Music,6.4,"2,159"
Rocco,2016,TV-MA,105 min,Documentary,5.7,"4,101"
Little Boxes,2016,Not Rated,84 min,"Comedy, Drama",5.9,"2,046"
Plan de fuga,2016,Not Rated,105 min,"Action, Adventure, Crime",5.6,"1,909"
My Hero Academia,2016,TV-14,24 min,"Animation, Action, Adventure",8.4,"60,041"
A Wish For Christmas,2016,TV-G,84 min,"Drama, Family, Fantasy",5.9,"4,787"
Tom Segura: Mostly Stories,2016,TV-MA,73 min,Comedy,7.5,"3,703"
Magi: Sinbad no Bouken,2016,TV-14,24 min,"Animation, Action, Adventure",7.5,"2,254"
Sebastian Maniscalco: Why Would You Do That?,2016,TV-14,63 min,Comedy,7.4,"1,127"
Bert Kreischer: The Machine,2016,TV-MA,70 min,Comedy,7.6,"1,606"
Chesapeake Shores,2016,TV-PG,42 min,"Drama, Family",7.5,"7,676"
The Crown,2016,TV-MA,58 min,"Biography, Drama, History",8.7,"199,885"
Tony Hinchcliffe: One Shot,2016,TV-MA,57 min,Comedy,6.0,209
Hajwala: The Missing Engine,2016,PG-13,96 min,"Action, Adventure, Crime",2.0,261
The Crown,2016,TV-MA,58 min,"Biography, Drama, History",8.7,"199,898"
