title,year released,certificate,duration_min,genre ,rating,votes,age
American Masters,1985,Not Rated,87,Documentary,7.6,165,37
Castle in the Sky,1986,PG,125,Animation,8,"165,884",36
Knights of the Zodiac,1986,TV-PG,24,Animation,8.4,"10,092",36
Full House,1987,TV-G,22,Comedy,6.7,"58,833",35
Star Trek: The Next Generation,1987,TV-PG,44,Action,8.7,"119,655",35
American Experience,1987,Approved,90,Documentary,6.7,47,35
Fatal Attraction,1987,R,119,Drama,6.9,"86,764",35
Sam Kinison: Breaking the Rules,1987,R,50,Documentary,7.2,672,35
American Experience,1987,TV-PG,53,Documentary,6.8,198,35
Muqaddar Ka Faisla,1987,Not Rated,171,Action,4.9,69,35
Quiet Victory: The Charlie Wedemeyer Story,1988,Not Rated,100,Drama,7.2,145,34
Mystery Science Theater 3000,1988,TV-14,92,Comedy,8.7,"24,646",34
My Neighbor Totoro,1988,G,86,Animation,8.1,"335,557",34
Dead Poets Society,1989,PG,128,Comedy,8.1,"484,465",33
Kiki's Delivery Service,1989,G,103,Animation,7.8,"143,858",33
Bill Hicks: Sane Man,1989,Not Rated,81,Documentary,8.3,"2,382",33
"See No Evil, Hear No Evil",1989,R,103,Comedy,6.8,"54,756",33
Seinfeld,1989,TV-PG,22,Comedy,8.9,"314,089",33
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,Not Rated,72,Comedy,8.1,"1,535",33
The Adventures of Super Mario Bros. 3,1990,TV-Y7,11,Animation,7.1,"1,686",32
The Fresh Prince of Bel-Air,1990,TV-PG,22,Comedy,7.9,"134,185",32
Death Warrant,1990,R,89,Action,5.6,"19,026",32
Twin Peaks,1990,TV-MA,47,Crime,8.8,"196,192",32
Are You Afraid of the Dark?,1990,TV-PG,30,Drama,8.2,"15,062",32
Tim Allen: Men Are Pigs,1990,Not Rated,30,Documentary,6.1,364,32
Awakenings,1990,PG-13,121,Biography,7.8,"141,037",32
Ghost,1990,PG-13,127,Drama,7.1,"216,532",32
Young Guns II,1990,PG-13,104,Action,6.5,"36,404",32
Tim Allen Rewires America,1991,Not Rated,30,Documentary,6,200,31
The Sam Kinison Family Entertainment Hour,1991,Not Rated,50,Documentary,6.6,284,31
