title,year released,certificate,duration_min,genre ,rating,votes,age
Bates Motel,2013,TV-MA,45,Drama,8.1,"107,362",9
After Tiller,2013,PG-13,85,Documentary,7.4,"1,083",9
Power Rangers Megaforce,2013,TV-Y7,24,Action,5.6,"1,681",9
Super Buddies,2013,G,81,Family,4.2,"1,554",9
Dealin' with Idiots,2013,Not Rated,88,Comedy,5.4,"1,433",9
Hannibal,2013,TV-14,44,Crime,8.5,"253,302",9
The Terror Live,2013,Not Rated,97,Action,7.1,"7,207",9
Despicable Me 2,2013,PG,98,Animation,7.3,"399,084",9
A Christmas Tree Miracle,2013,TV-G,102,Family,6.5,854,9
Drinking Buddies,2013,R,90,Comedy,6.1,"58,711",9
Lovestruck: The Musical,2013,Not Rated,83,Comedy,6.2,"2,451",9
Ugly,2013,Not Rated,128,Crime,8,"22,068",9
Pink: Staying True,2013,TV-14,60,Documentary,6.1,134,9
Berserk: The Golden Age Arc III - The Advent,2013,Not Rated,110,Animation,7.8,"10,365",9
I Spit on Your Grave 2,2013,R,106,Horror,5.7,"30,034",9
3 Geezers!,2013,Not Rated,81,Comedy,3.3,769,9
The Wind Rises,2013,PG-13,126,Animation,7.7,"85,688",9
Without Shepherds,2013,Not Rated,89,Documentary,7.7,70,9
The Sinking of Van Der Wijck,2013,TV-14,164,Drama,7.6,"1,316",9
The Genius of Marian,2013,TV-PG,85,Documentary,7.3,151,9
Sarah and Duck,2013,TV-G,7,Animation,8.3,756,9
Doonby,2013,PG-13,104,Drama,5.2,522,9
John Caparulo: Come Inside Me,2013,Not Rated,71,Documentary,7.1,133,9
Below Deck,2013,TV-14,43,Reality-TV,7.4,"3,541",9
Particle Fever,2013,Not Rated,99,Documentary,7.4,"7,440",9
Dirty Teacher,2013,TV-14,85,Drama,4.7,"2,019",9
Crossing Lines,2013,TV-14,43,Action,7.3,"13,157",9
Harlock: Space Pirate,2013,Not Rated,115,Animation,6.4,"12,410",9
Generation Iron,2013,PG-13,106,Documentary,7,"7,886",9
Web Junkie,2013,Not Rated,74,Documentary,6.3,635,9
The Great Train Robbery,2013,Not Rated,90,Biography,7.3,"4,253",9
Ray Donovan,2013,TV-MA,60,Crime,8.3,"86,921",9
The Love Section,2013,Not Rated,100,Comedy,6.1,387,9
Sharknado,2013,Not Rated,86,Action,3.3,"49,890",9
Vikings,2013,TV-MA,44,Action,8.5,"524,642",9
Ender's Game,2013,PG-13,114,Action,6.6,"240,470",9
Reign,2013,TV-14,42,Drama,7.4,"49,625",9
Planes,2013,PG,91,Animation,5.7,"45,527",9
Rape Zombie: Lust of the Dead 3,2013,Not Rated,68,Horror,3.5,410,9
Dead in Tombstone,2013,R,100,Action,4.8,"5,623",9
House of Cards,2013,TV-MA,51,Drama,8.7,"500,982",9
God Loves Uganda,2013,TV-14,83,Documentary,7.4,"1,210",9
Battle Ground,2013,R,95,Action,4.9,"2,061",9
Hank: 5 Years from the Brink,2013,Not Rated,85,Documentary,6.6,499,9
Rick and Morty,2013,TV-14,22,Animation,8.2,"11,958",9
Good Ol' Freda,2013,PG,86,Documentary,7.4,"2,028",9
Girl Rising,2013,PG-13,101,Documentary,7.2,"1,234",9
The Surrogate,2013,TV-14,90,Drama,4.5,617,9
Jay and Silent Bob's Super Groovy Cartoon Movie,2013,TV-14,64,Animation,4.9,"2,114",9
The Numbers Station,2013,R,89,Action,5.6,"20,186",9
King's Faith,2013,PG-13,108,Drama,6.2,796,9
The Short Game,2013,PG,99,Documentary,7.3,"1,587",9
Gore Vidal: The United States of Amnesia,2013,Not Rated,83,Documentary,7.7,"1,279",9
Dear Mr. Watterson,2013,TV-PG,89,Documentary,6.3,"1,917",9
The Square,2013,Not Rated,95,Documentary,8,"9,074",9
Orange Is the New Black,2013,TV-MA,59,Comedy,8.1,"300,354",9
The Thundermans,2013,TV-G,23,Action,5.6,"5,668",9
Brasslands,2013,Not Rated,84,Documentary,7.4,91,9
Spark: A Burning Man Story,2013,Not Rated,90,Documentary,6.2,576,9
Collision,2013,R,101,Action,5.9,"3,233",9
Cloudy with a Chance of Meatballs 2,2013,PG,95,Animation,6.3,"103,309",9
Xiaolin Chronicles,2013,TV-Y7-FV,22,Animation,6.7,"1,064",9
The Croods,2013,PG,98,Animation,7.2,"214,351",9
Rick and Morty,2013,TV-14,22,Animation,7.3,"11,685",9
Zephyr Springs,2013,TV-14,88,Thriller,4,448,9
Under the Dome,2013,TV-14,43,Drama,6.5,"106,485",9
Rick and Morty,2013,TV-14,22,Animation,8.3,"11,645",9
Bo Burnham: what.,2013,TV-MA,60,Comedy,8.3,"12,046",9
Lone Survivor,2013,R,121,Action,7.5,"287,213",9
Broken City,2013,R,109,Action,6.1,"80,434",9
Dead Man Down,2013,R,118,Action,6.4,"68,250",9
Heebie Jeebies,2013,TV-14,85,Horror,3.4,506,9
CAT. 8,2013,TV-14,180,Action,4.4,"1,280",9
Angry Birds Toons,2013,TV-Y,3,Animation,6.1,848,9
Marc Maron: Thinky Pain,2013,Not Rated,95,Comedy,7.3,"1,906",9
Storage Wars Canada,2013,TV-PG,30,Reality-TV,3.9,534,9
Odd Squad,2014,TV-Y,27,Action,7.1,"1,163",8
BoJack Horseman,2014,TV-MA,26,Animation,9.2,"3,362",8
Nfinity Champions League Cheerleading Event,2014,PG-13,120,Documentary,5.6,67,8
Iceman,2014,R,104,Action,4.7,"3,626",8
Blippi,2014,TV-Y,11,Family,6.7,494,8
BoJack Horseman,2014,TV-MA,27,Animation,9.5,"6,230",8
Dave Attell: Road Work,2014,TV-MA,60,Comedy,7.5,482,8
Noragami,2014,TV-14,24,Animation,7.9,"15,639",8
Jinn,2014,PG-13,97,Fantasy,4.1,"4,745",8
Eddie Pepitone: In Ruins,2014,Not Rated,64,Comedy,7.1,136,8
Sabotage,2014,R,109,Action,5.7,"63,842",8
Robert Kelly: Live at the Village Underground,2014,Not Rated,63,Comedy,7.2,220,8
Tiger Orange,2014,Unrated,75,Drama,6.5,"1,417",8
A Tiger in the Dark: The Decadence Saga,2014,R,128,Drama,7.7,50,8
When Marnie Was There,2014,PG,103,Animation,7.7,"40,640",8
Honeymoon,2014,R,87,Drama,5.7,"26,016",8
Tiny House Nation,2014,TV-PG,41,Reality-TV,7.4,24,8
Tiny House Nation,2014,TV-PG,40,Reality-TV,7.1,22,8
Laggies,2014,R,99,Comedy,6.4,"44,270",8
Finding Home,2014,Unrated,118,Documentary,7.8,219,8
It's Not Over,2014,Not Rated,72,Documentary,6.3,48,8
BoJack Horseman,2014,TV-MA,26,Animation,9.9,"16,066",8
BoJack Horseman,2014,TV-MA,26,Animation,8.9,"3,112",8
The Sklar Brothers: What Are We Talking About,2014,Not Rated,69,Comedy,6.1,72,8
Tiny House Nation,2014,TV-PG,42,Reality-TV,7.1,22,8
Tiny House Nation,2014,TV-PG,41,Reality-TV,7.3,25,8
BoJack Horseman,2014,TV-MA,26,Animation,8.6,"2,752",8
Stonehearst Asylum,2014,PG-13,112,Drama,6.8,"56,882",8
Dukhtar,2014,Not Rated,93,Drama,6.9,"2,429",8
Pelican Dreams,2014,G,80,Documentary,6.8,151,8
Moving Art: Forests,2014,Not Rated,25,Documentary,8.3,203,8
Shrew's Nest,2014,Not Rated,91,Drama,6.7,"7,080",8
Step Up All In,2014,PG-13,112,Drama,5.9,"34,613",8
Steve Byrne: Champion,2014,Not Rated,70,Comedy,6.8,147,8
Morgan Murphy: Irish Goodbye,2014,Not Rated,51,Comedy,6.8,336,8
We Bare Bears,2014,TV-PG,30,Animation,7.9,"15,784",8
Tiny House Nation,2014,TV-PG,41,Reality-TV,8,26,8
Moving Art: Flowers,2014,Not Rated,25,Documentary,8.3,211,8
Flight 7500,2014,PG-13,80,Drama,4.8,"16,082",8
Tiny House Nation,2014,TV-PG,41,Reality-TV,6.5,25,8
Nick Thune: Folk Hero,2014,Not Rated,43,Short,6.7,110,8
Sharknado 2: The Second One,2014,TV-14,95,Action,4,"19,381",8
The 100,2014,TV-14,41,Drama,4.8,"4,740",8
Zapped,2014,TV-G,102,Comedy,5,"5,519",8
Space Racers,2014,TV-Y,22,Animation,7.4,82,8
The Flash,2014,TV-PG,42,Action,7,"1,582",8
The Missing,2014,TV-14,60,Crime,8.2,"26,870",8
The Flash,2014,TV-PG,42,Action,7.5,"1,574",8
Killswitch,2014,Not Rated,72,Documentary,7.7,638,8
6-5=2,2014,Unrated,104,Horror,4.4,205,8
Tiny House Nation,2014,TV-PG,40,Reality-TV,7.3,42,8
Tiny House Nation,2014,TV-PG,41,Reality-TV,3.6,61,8
The 100,2014,TV-14,42,Drama,6.1,"2,527",8
Tiny House Nation,2014,TV-PG,41,Reality-TV,7.1,26,8
Tiny House Nation,2014,TV-PG,41,Reality-TV,7.1,25,8
Talking Tom and Friends,2014,TV-G,11,Animation,5.8,475,8
Tiny House Nation,2014,TV-PG,40,Reality-TV,7.3,26,8
Misfire,2014,Not Rated,90,Action,3.1,796,8
Sun Belt Express,2014,Unrated,91,Comedy,6.2,380,8
Dirilis: Ertugrul,2014,TV-14,120,Action,7.9,"36,678",8
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,Comedy,7.7,"626,026",8
Tiny House Nation,2014,TV-PG,41,Reality-TV,6.2,40,8
Tiny House Nation,2014,TV-PG,41,Reality-TV,7.8,22,8
Death Clique,2014,TV-PG,83,Crime,5.4,"1,352",8
Meet the Mormons,2014,PG,78,Documentary,6.4,"2,011",8
Tiny House Nation,2014,TV-PG,40,Reality-TV,7.8,30,8
The Irregular at Magic High School,2014,TV-14,22,Animation,7.1,"3,455",8
When Calls the Heart,2014,TV-G,43,Drama,7.9,"13,133",8
Henry Danger,2014,TV-G,30,Action,5.6,"5,633",8
Haikyu!!,2014,TV-14,24,Animation,8.7,"24,721",8
Iron Man and Captain America: Heroes United,2014,PG,71,Animation,5.5,"1,788",8
Transformers: Robots in Disguise,2014,TV-Y7,22,Animation,5.9,"1,091",8
Noah,2014,PG-13,138,Action,5.8,"255,168",8
Alive Inside: A Story of Music and Memory,2014,Not Rated,78,Documentary,8.2,"3,146",8
Marco Polo,2014,TV-MA,60,Action,8,"72,672",8
From the Dark,2014,Unrated,90,Horror,4.9,"3,328",8
Rage of Bahamut: Genesis,2014,TV-14,24,Animation,7.3,"1,515",8
300: Rise of an Empire,2014,R,102,Action,6.2,"300,895",8
BoJack Horseman,2014,TV-MA,26,Animation,8.9,"3,200",8
Kung Fu Elliot,2014,Not Rated,81,Documentary,6.5,343,8
Stranded in Paradise,2014,TV-G,86,Comedy,5.4,"1,722",8
M Cream,2014,Not Rated,112,Adventure,5.4,600,8
Tiny House Nation,2014,TV-PG,43,Reality-TV,7.1,"1,176",8
Rosemary's Baby,2014,TV-14,170,Drama,5.5,"5,526",8
Revolver Rani,2014,Not Rated,132,Action,4.7,"1,932",8
Stand by Me Doraemon,2014,TV-PG,95,Animation,7.3,"8,136",8
Jarhead 2: Field of Fire,2014,R,103,Action,5.4,"6,110",8
Atari: Game Over,2014,TV-14,66,Documentary,6.7,"5,924",8
Video Games: The Movie,2014,Not Rated,101,Documentary,6.1,"5,510",8
Trailer Park Boys: Don't Legalize It,2014,TV-14,95,Comedy,7.3,"4,763",8
The 100,2014,TV-14,41,Drama,7.6,"2,600",8
The Barkley Marathons: The Race That Eats Its Young,2014,Not Rated,89,Documentary,7.7,"5,281",8
i Force: The Beginning,2014,TV-Y7,20,Animation,4.7,62,8
The Gospel of John,2014,Unrated,160,Drama,7.7,928,8
Adult Beginners,2014,R,92,Action,5.6,"8,540",8
Madam Secretary,2014,TV-PG,45,Drama,7.7,"23,203",8
Unfreedom,2014,Not Rated,102,Crime,5,"1,962",8
Black Sails,2014,TV-MA,56,Action,8.2,"104,342",8
The Reconstruction of William Zero,2014,Not Rated,98,Drama,5.4,"1,188",8
K-9 Adventures: Legend of the Lost Gold,2014,Not Rated,90,Adventure,5.2,210,8
How to Get Away with Murder,2014,TV-14,43,Crime,8.1,"150,319",8
Gone Girl,2014,R,149,Drama,8.1,"971,322",8
Gotham,2014,TV-14,42,Action,7.8,"229,301",8
"Fat, Sick & Nearly Dead 2",2014,Not Rated,88,Documentary,6.4,"1,658",8
Monty Python Live (Mostly),2014,Not Rated,162,Documentary,7.6,"2,634",8
Devilish Charm,2014,Not Rated,78,Thriller,3.3,153,8
The Flash,2014,TV-PG,42,Action,4.9,"2,124",8
The 100,2014,TV-14,43,Drama,7.6,"248,827",8
Anatomy of a Love Seen,2014,Not Rated,80,Drama,4.7,"2,620",8
BoJack Horseman,2014,TV-MA,25,Animation,8.8,"152,649",8
The 100,2014,TV-14,41,Drama,7.7,"1,855",8
Virunga,2014,Not Rated,100,Documentary,8.2,"11,569",8
The Flash,2014,TV-PG,43,Action,7.6,"344,187",8
Outlander,2014,TV-MA,60,Drama,8.4,"158,271",8
Fargo,2014,TV-MA,53,Crime,8.9,"369,918",8
Monty Python: The Meaning of Live,2014,Not Rated,90,Documentary,7.6,618,8
Bill Burr: I'm Sorry You Feel That Way,2014,TV-MA,80,Comedy,8.2,"8,296",8
Ungli,2014,Not Rated,114,Crime,5.8,"3,951",8
Outlander,2014,TV-MA,60,Drama,8.4,"158,268",8
The 100,2014,TV-14,42,Drama,8.1,"1,878",8
The 100,2014,TV-14,42,Drama,7.6,"1,954",8
Swearnet: The Movie,2014,NC-17,112,Comedy,6,"2,833",8
The 100,2014,TV-14,41,Drama,9,"3,610",8
Scorpion,2014,TV-14,43,Action,7,"53,803",8
The Case Against 8,2014,TV-14,109,Documentary,7.4,"1,108",8
Darr @ the Mall,2014,Not Rated,124,Horror,4.8,991,8
Happy Valley,2014,TV-MA,58,Crime,8.5,"39,851",8
The 100,2014,TV-14,42,Drama,8.4,"2,286",8
The 100,2014,TV-14,42,Drama,7.5,"1,904",8
Monthly Girls' Nozaki-kun,2014,TV-PG,23,Animation,7.6,"3,549",8
Penny Dreadful,2014,TV-MA,60,Drama,8.2,"121,814",8
Aliens on the Moon: The Truth Exposed,2014,Not Rated,86,Sci-Fi,3.4,"1,025",8
Expelled,2014,PG-13,85,Comedy,4.7,"6,765",8
4 Moons,2014,Unrated,110,Drama,7.4,"4,477",8
The 100,2014,TV-14,42,Drama,7.6,"1,772",8
The 100,2014,TV-14,42,Drama,8,"2,332",8
The Affair,2014,TV-MA,60,Drama,7.9,"45,649",8
The 100,2014,TV-14,42,Drama,7.3,"2,062",8
Copenhagen,2014,Not Rated,98,Adventure,7,"13,318",8
The Fluffy Movie: Unity Through Laughter,2014,PG-13,101,Documentary,7.2,"3,835",8
The Perfect Dictatorship,2014,TV-MA,143,Comedy,7.2,"5,542",8
Jane the Virgin,2014,TV-PG,60,Comedy,7.9,"50,019",8
Champs,2014,Not Rated,85,Documentary,7.2,"1,931",8
Preservation,2014,Not Rated,88,Horror,4.8,"5,834",8
Cocaine Cowboys: Reloaded,2014,R,152,Documentary,7.6,"1,528",8
The 100,2014,TV-14,41,Drama,7.5,"1,905",8
The 100,2014,TV-14,42,Drama,7.9,"2,020",8
Golden Cane Warrior,2014,Not Rated,111,Action,6.2,808,8
Houdini,2014,TV-14,174,Biography,7.3,"11,768",8
Winx Club: The Mystery of the Abyss,2014,TV-Y7,83,Animation,5.7,774,8
Fate/stay night [Unlimited Blade Works],2014,TV-14,24,Animation,8,"7,896",8
V/H/S Viral,2014,R,81,Horror,4.2,"17,014",8
Kingdom,2014,TV-MA,43,Drama,8.5,"18,196",8
Z Nation,2014,TV-14,44,Action,6.7,"36,710",8
Are You the One?,2014,TV-14,41,Game-Show,6.5,"2,576",8
Cowspiracy: The Sustainability Secret,2014,Not Rated,90,Documentary,8.1,"25,357",8
Swearnet Live,2014,TV-MA,75,Comedy,5.4,551,8
Percentage,2014,Not Rated,86,Action,4.1,"6,483",8
My Own Man,2014,TV-14,82,Documentary,6.4,447,8
The 100,2014,TV-14,43,Drama,6.7,"3,838",8
Queen of Carthage,2014,R,92,Drama,5.6,231,8
The Overnighters,2014,PG-13,102,Documentary,7.4,"2,471",8
Bitten,2014,TV-MA,44,Drama,6.9,"18,271",8
The Pact II,2014,Not Rated,96,Horror,4.4,"3,562",8
Turn It Up!,2014,TV-14,86,Documentary,7.5,69,8
I Am Happiness on Earth,2014,Unrated,122,Drama,4.5,"1,055",8
Tom Segura: Completely Normal,2014,Not Rated,74,Documentary,7.7,"2,697",8
Fed Up,2014,PG,92,Documentary,7.7,"12,028",8
LoliRock,2014,TV-Y,26,Animation,7.2,472,8
The Culture High,2014,TV-14,120,Documentary,8.2,"3,688",8
Silver Spoon,2014,TV-14,52,Crime,7.6,"1,635",8
Black Money Love,2014,TV-MA,90,Action,7.5,"6,390",8
Fight Church,2014,Not Rated,84,Documentary,6.1,125,8
BoJack Horseman,2014,TV-MA,26,Animation,8,"2,665",8
The 100,2014,TV-14,42,Drama,6.4,"2,206",8
All Hail King Julien,2014,TV-Y7,23,Animation,7,"2,067",8
From Dusk Till Dawn: The Series,2014,TV-MA,45,Action,6.8,"20,612",8
Manhattan Romance,2014,TV-14,94,Comedy,5.6,"1,360",8
My Beautiful Broken Brain,2014,TV-14,86,Documentary,7,"2,309",8
Sounding the Alarm: Battling the Autism Epidemic,2014,Not Rated,58,Documentary,6.1,50,8
Taken 3,2014,PG-13,108,Action,6,"192,711",8
BoJack Horseman,2014,TV-MA,26,Animation,8.5,"3,166",8
BoJack Horseman,2014,TV-MA,26,Animation,8,"2,919",8
Pants on Fire,2014,Unrated,85,Comedy,5.1,"1,109",8
Lovesick,2014,TV-MA,24,Comedy,8,"20,266",8
Bright Night,2014,Unrated,86,Drama,5.1,"1,261",8
Million Dollar Arm,2014,PG,124,Biography,7,"46,153",8
Capital C,2014,Not Rated,87,Documentary,6.7,274,8
Kill Me Three Times,2014,R,90,Action,5.8,"23,560",8
Akame ga Kill!,2014,TV-MA,24,Animation,7.8,"23,986",8
Piggy Tales,2014,TV-Y,1,Animation,6.8,147,8
Dig Two Graves,2014,Not Rated,85,Drama,5.6,"3,276",8
The Gabby Douglas Story,2014,Not Rated,86,Biography,6.9,"1,771",8
Toy Story That Time Forgot,2014,TV-G,22,Animation,7.1,"11,872",8
Big Game,2014,PG-13,110,Action,5.4,"33,388",8
01-Oct,2014,PG-13,148,Crime,6.4,459,8
BoJack Horseman,2014,TV-MA,26,Animation,9,"3,450",8
Hey Duggee,2014,TV-Y,7,Animation,8.9,"1,141",8
1 Chance 2 Dance,2014,G,89,Drama,4.6,579,8
The One I Love,2014,R,91,Comedy,7,"40,089",8
Jim Jefferies: BARE,2014,TV-MA,77,Comedy,8,"5,504",8
A Field Full of Secrets,2014,Not Rated,122,Documentary,5.7,212,8
Blue Gold: American Jeans,2014,TV-PG,99,Documentary,6.9,134,8
Booba,2014,TV-Y7,96,Animation,7,428,8
BoJack Horseman,2014,TV-MA,27,Animation,9.3,"4,161",8
Fated to Love You,2014,TV-14,60,Comedy,7.9,"2,519",8
Salem,2014,TV-MA,60,Drama,7.1,"23,955",8
Futuro Beach,2014,Unrated,106,Drama,6.3,"3,133",8
Cosmos: A Spacetime Odyssey,2014,TV-PG,557,Documentary,9.3,"121,400",8
Against the Sun,2014,PG,100,Biography,6.5,"6,019",8
ETXR,2014,Not Rated,80,Adventure,4,211,8
BoJack Horseman,2014,TV-MA,26,Animation,8.5,"2,962",8
Tyrant,2014,TV-14,60,Action,7.7,"22,938",8
Life Itself,2014,R,121,Documentary,7.8,"15,763",8
"It's Okay, That's Love",2014,TV-14,60,Comedy,8.3,"4,009",8
Blood Cells,2014,Not Rated,86,Drama,7,87,8
Sonic Boom,2014,TV-Y7,11,Animation,6.8,"6,321",8
BoJack Horseman,2014,TV-MA,26,Animation,8.3,"2,780",8
BoJack Horseman,2014,TV-MA,26,Animation,8.6,"2,734",8
The Musketeers,2014,TV-14,55,Adventure,7.8,"22,376",8
Angry Birds Stella,2014,TV-Y7,6,Animation,7.2,109,8
Kiko,2014,TV-Y,30,Animation,7.8,48,8
Your Lie in April,2014,TV-PG,23,Animation,8.6,"28,925",8
The Flash,2014,TV-PG,42,Action,7.3,"1,913",8
The Flash,2014,TV-PG,42,Action,7.7,"2,081",8
BoJack Horseman,2014,TV-MA,26,Animation,8.1,"2,717",8
The Flash,2014,TV-PG,42,Action,7.5,"1,895",8
Balls Out,2014,R,100,Comedy,4.3,"1,482",8
The Flash,2014,TV-PG,42,Action,7.4,"1,854",8
The Flash,2014,TV-PG,42,Action,7.3,"1,894",8
Moving Art: Deserts,2014,Not Rated,25,Documentary,8.4,158,8
Imperial Dreams,2014,TV-MA,87,Drama,6.7,"4,549",8
The Flash,2014,TV-PG,42,Action,8.4,"2,296",8
The Search for General Tso,2014,Not Rated,71,Documentary,6.9,"1,765",8
The Flash,2014,TV-PG,42,Action,6.9,"1,666",8
Nanatsu no taizai,2014,TV-14,24,Animation,7.9,"31,725",8
My Little Pony: Equestria Girls - Rainbow Rocks,2014,TV-Y,75,Animation,6.9,"3,119",8
The Flash,2014,TV-PG,42,Action,7.9,"1,915",8
BattleBots,2015,TV-PG,83,Action,8.4,20,7
The Last Kingdom,2015,TV-MA,54,Action,8.9,"2,679",7
Super Wings!,2015,TV-Y,15,Animation,5.9,333,7
R.L. Stine's Monsterville: Cabinet of Souls,2015,PG,86,Comedy,5.6,"2,279",7
The Crew,2015,TV-MA,81,Action,6.3,"5,174",7
Invoked,2015,R,85,Horror,3.4,709,7
Chewing Gum,2015,TV-MA,23,Comedy,7.7,"9,555",7
Hell and Back,2015,R,86,Animation,5.3,"5,061",7
Aziz Ansari Live in Madison Square Garden,2015,TV-MA,58,Comedy,6.6,"3,283",7
Care Bears and Cousins,2015,TV-Y,132,Animation,6.8,83,7
Dinotrux,2015,TV-Y7-FV,23,Animation,6.7,468,7
Ip Man 3,2015,PG-13,105,Action,7,"55,640",7
Kekkai Sensen,2015,TV-14,24,Animation,7.2,"2,184",7
Power Rangers Dino Charge,2015,TV-Y7,21,Action,6.4,"1,398",7
Dilwale,2015,Not Rated,158,Action,5,"34,990",7
Grace and Frankie,2015,TV-MA,32,Comedy,8.9,458,7
King Jack,2015,Not Rated,81,Adventure,6.9,"3,274",7
Baires,2015,TV-MA,82,Action,4.2,207,7
Lethal Seduction,2015,TV-14,80,Thriller,5.1,993,7
Grace and Frankie,2015,TV-MA,28,Comedy,7.6,344,7
Chloe and Theo,2015,PG-13,81,Comedy,5.7,"1,717",7
Gonchi la película,2015,G,88,Documentary,7.7,250,7
The Frankenstein Chronicles,2015,TV-MA,48,Crime,7.2,"11,715",7
W/Bob and David,2015,TV-MA,30,Comedy,7.3,"4,363",7
Inspector Gadget,2015,TV-Y7,22,Animation,4.5,638,7
Alvinnn!!! And the Chipmunks,2015,TV-Y7,11,Animation,4.5,"1,417",7
Anjelah Johnson: Not Fancy,2015,Not Rated,90,Documentary,5.7,710,7
Night Fare,2015,TV-MA,80,Thriller,5.5,"1,479",7
Western,2015,Not Rated,92,Documentary,6.1,253,7
BattleBots,2015,TV-PG,83,Action,8.2,19,7
Historia de un clan,2015,TV-MA,50,Biography,7.7,948,7
"Devil's Backbone, Texas",2015,Unrated,80,Horror,4,591,7
Iliza Shlesinger: Freezing Hot,2015,TV-MA,71,Documentary,6.8,"2,645",7
Demetri Martin: Live (At the Time),2015,TV-MA,61,Documentary,7.4,"2,231",7
Project Mc²,2015,TV-Y7,26,Family,5.9,"1,060",7
Navy Seals vs. Zombies,2015,Not Rated,97,Action,3.3,"2,218",7
BattleBots,2015,TV-PG,83,Action,8.8,18,7
The Returned,2015,TV-14,42,Drama,7,"11,908",7
Richie Rich,2015,TV-G,22,Comedy,3.1,"1,101",7
The Gunman,2015,R,115,Action,5.8,"41,280",7
Mike Epps: Don't Take It Personal,2015,TV-MA,59,Comedy,4.4,290,7
Chris D'Elia: Incorrigible,2015,TV-MA,83,Comedy,6.4,"1,554",7
Russell Madness,2015,PG,92,Family,4.2,675,7
Owari no serafu,2015,TV-14,24,Animation,7.5,"5,496",7
The Hunting Ground,2015,PG-13,103,Documentary,7.4,"6,329",7
Eddie - Strongman,2015,TV-14,98,Documentary,7.4,"1,179",7
BattleBots,2015,TV-PG,83,Action,8.1,18,7
Real Rob,2015,TV-MA,30,Comedy,6.3,"2,905",7
Jeff Dunham: Unhinged in Hollywood,2015,Unrated,71,Comedy,6.7,735,7
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),2015,TV-MA,78,Comedy,6.8,"1,573",7
Stalked by My Doctor,2015,TV-14,88,Thriller,5.4,"1,656",7
The Real Miyagi,2015,TV-14,80,Documentary,7.1,"1,001",7
The Missing Ingredient: What is the Recipe for Success?,2015,Unrated,87,Documentary,7.5,23,7
Winter on Fire: Ukraine's Fight for Freedom,2015,Not Rated,102,Documentary,8.3,"19,042",7
Terrace House,2015,TV-14,30,Drama,8.1,"1,692",7
Pyaar Ka Punchnama 2,2015,Not Rated,137,Comedy,7.3,"15,310",7
The Deep,2015,TV-Y7,22,Animation,7.8,698,7
Hard Tide,2015,Not Rated,90,Drama,4.8,212,7
An Act of War,2015,Not Rated,99,Crime,5.2,"1,667",7
Dawn of the Croods,2015,TV-Y7,23,Animation,5.8,735,7
6 Years,2015,Not Rated,79,Drama,5.5,"12,684",7
Gate,2015,TV-14,24,Animation,7.5,"3,509",7
Escorts,2015,Not Rated,47,Documentary,5.1,445,7
Cyborg 009 vs Devilman,2015,TV-14,28,Animation,6.1,285,7
BattleBots,2015,TV-PG,83,Action,8.4,16,7
Hurricane of Fun: The Making of Wet Hot,2015,Not Rated,64,Documentary,7,"1,496",7
The Testimony,2015,Not Rated,28,Documentary,7.3,159,7
Hate Story 3,2015,Not Rated,126,Drama,4.5,"3,267",7
Danny Says,2015,Unrated,104,Documentary,6.7,817,7
My Little Pony: Equestria Girls - Friendship Games,2015,TV-Y,72,Animation,6.4,"1,910",7
Colin Quinn: Unconstitutional,2015,Not Rated,55,Comedy,7.1,481,7
Jeremy Scott: The People's Designer,2015,PG-13,110,Documentary,6.4,404,7
Club de Cuervos,2015,TV-MA,40,Comedy,8.2,"5,646",7
Oriented,2015,Not Rated,86,Documentary,6.7,525,7
MI-5,2015,R,104,Action,6.2,"22,820",7
BattleBots,2015,TV-PG,83,Action,7.9,17,7
BattleBots,2015,TV-PG,83,Action,8.4,20,7
Merry Kissmas,2015,Unrated,89,Comedy,5.3,"3,216",7
God Eater,2015,TV-14,24,Animation,6.9,"2,034",7
Mobile Suit Gundam: Iron-Blooded Orphans,2015,TV-14,24,Animation,7.9,"1,732",7
Imprisoned,2015,TV-MA,97,Drama,6.4,200,7
Emergency,2015,TV-14,22,Reality-TV,7.7,31,7
How to Plan an Orgy in a Small Town,2015,TV-MA,101,Comedy,5.4,"3,352",7
Born to Be Blue,2015,R,97,Biography,6.8,"8,725",7
The Ridiculous 6,2015,TV-14,119,Action,4.8,"49,602",7
Between,2015,TV-14,60,Drama,5.9,"9,252",7
Southpaw,2015,R,124,Action,7.3,"236,533",7
Pixels,2015,PG-13,105,Action,5.6,"144,672",7
Bangistan,2015,Not Rated,135,Comedy,4.5,"1,305",7
BattleBots,2015,TV-PG,83,Action,8.5,16,7
Dark Places,2015,R,113,Crime,6.2,"45,465",7
Puffin Rock,2015,TV-Y,7,Animation,8.6,932,7
F Is for Family,2015,TV-MA,30,Animation,8,"37,225",7
Wet Hot American Summer: First Day of Camp,2015,TV-MA,30,Comedy,7.3,"24,101",7
You Carry Me,2015,Unrated,155,Action,7,"2,261",7
Tig,2015,TV-14,95,Documentary,7.4,"2,706",7
Frank and Cindy,2015,R,102,Comedy,6.1,873,7
Grace and Frankie,2015,TV-MA,28,Comedy,7.6,347,7
Making a Murderer,2015,TV-14,60,Documentary,8.6,"95,626",7
Tangerine,2015,R,88,Comedy,7.1,"32,450",7
